Date,Open,High,Low,Close,Adj Close,Volume
2013-05-30,289.859985,292.880005,283.630005,286.540009,245.691650,19729175
2013-05-31,285.000000,287.730011,282.200012,286.109985,245.322983,6939990
2013-06-03,284.799988,287.600006,282.000000,286.170013,245.374420,5639100
2013-06-04,286.000000,288.799988,277.399994,279.089996,239.303696,6481315
2013-06-05,278.000000,279.880005,272.420013,276.450012,237.040070,10525180
2013-06-06,275.799988,285.559998,273.649994,283.619995,243.187912,7218255
2013-06-07,282.799988,284.390015,273.820007,275.649994,236.354065,16958990
2013-06-10,277.200012,277.869995,269.640015,271.049988,232.409851,7101745
2013-06-11,269.000000,269.000000,262.570007,264.540009,226.827942,10709250
2013-06-12,262.399994,262.799988,253.309998,254.889999,218.553589,16756695
2013-06-13,254.000000,258.440002,251.479996,254.130005,217.901932,9278645
2013-06-14,256.839996,262.079987,256.359985,259.600006,222.592163,9145290
2013-06-17,260.420013,264.209991,253.809998,263.209991,225.687515,9148855
2013-06-18,262.350006,262.940002,256.799988,257.320007,220.637177,7215030
2013-06-19,257.390015,257.899994,253.399994,257.010010,220.371368,7633795
2013-06-20,252.800003,253.199997,246.399994,247.960007,212.611526,9339930
2013-06-21,245.809998,253.889999,244.789993,251.940002,216.024155,11567800
2013-06-24,249.860001,251.759995,246.869995,248.610001,213.168854,8864770
2013-06-25,250.199997,250.800003,241.580002,246.289993,211.179565,17111600
2013-06-26,247.220001,252.839996,247.220001,249.679993,214.086304,13302520
2013-06-27,252.800003,257.000000,252.740005,255.009995,218.656479,11566105
2013-06-28,258.399994,266.399994,257.500000,265.040009,227.256653,7250955
2013-07-01,264.799988,270.779999,264.010010,269.760010,231.303772,5323995
2013-07-02,268.420013,270.980011,260.929993,261.700012,224.392792,5683025
2013-07-03,258.290009,260.410004,254.220001,255.570007,219.136673,6367035
2013-07-04,256.420013,258.600006,251.820007,252.990005,216.924469,9497150
2013-07-05,254.360001,260.279999,253.800003,257.609985,237.805450,5785940
2013-07-08,255.800003,255.800003,249.199997,250.509995,231.251282,10780235
2013-07-09,253.000000,255.460007,252.000000,252.869995,233.429871,4614270
